CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,CV_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,,,
78,61,92,61,0,0,0,0,1804,1804,1804,1802,0,0,0,0,3,905,1710,2487,2020,0,777,3009,10003,,,
76,92,84,66,0,0,0,0,1803,1804,1804,1803,0,0,0,0,45,905,1710,2487,2020,0,777,3009,10003,,,
61,69,66,69,0,0,0,0,1804,1804,1805,1804,0,0,0,0,10,905,1710,2487,2020,0,777,3009,10003,,,
69,69,69,66,0,0,0,0,1804,1804,1804,1804,0,0,0,0,1,905,1865,2487,2020,0,777,3009,10158,,,
50,76,71,78,0,0,0,0,1804,1804,1804,1804,0,0,0,0,31,905,1865,2487,2020,0,777,3009,10158,,,
69,69,66,63,0,0,0,0,1804,1804,1803,1804,0,0,0,0,1,905,1865,2487,2020,0,777,3009,10158,,,
84,76,75,71,0,0,0,0,1804,1804,1804,1804,0,0,0,0,0,905,1865,2487,2020,0,777,3009,10158,,,
84,72,61,58,0,0,0,0,1804,1804,1804,1804,0,0,0,0,16,905,1865,2487,2020,0,777,3009,10158,,,
83,69,61,63,0,0,0,0,1804,1804,1803,1804,0,0,0,0,26,905,1710,2487,2020,0,777,3009,10003,,,
61,72,75,78,0,0,0,0,1804,1804,1804,1804,0,0,0,0,36,905,1865,2487,2020,0,777,3009,10158,,,
75,54,66,83,0,0,0,0,1804,1804,1804,1800,0,0,0,0,0,905,1865,2487,2020,0,777,3009,10158,,,
69,61,58,69,0,0,0,0,1804,1804,1804,1802,0,0,0,0,3,905,1710,2487,2020,0,777,3009,10003,,,
66,84,66,66,0,0,0,0,1804,1803,1802,1803,0,0,0,0,0,905,1865,2487,2020,0,777,3009,10158,,,
72,60,78,75,0,0,0,0,1804,1804,1804,1804,0,0,0,0,3,905,1865,2487,2020,0,777,3009,10158,,,
75,81,61,69,0,0,0,0,1804,1804,1804,1803,0,0,0,0,26,905,1865,2487,2020,0,777,3009,10158,,,
83,78,50,66,0,0,0,0,1803,1801,1803,1804,0,0,0,0,0,905,1865,2487,2020,0,777,3049,10198,,,
