Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess,
209,"0,005436","0,035053","0,00653","0,007994",2,"55,01309","3,26515",0,"2,629995","24,564266","4,732847",
210,"0,005396","0,035612","0,006573","0,007359",2,"54,940031","3,286463",0,"2,637625","25,412798","4,139662",
211,"0,005512","0,035675","0,032726","0,007251",2,"81,163733","16,36308",0,"3,781796","24,839163","4,064798",
212,"0,007337","0,040513","0,009657","0,006639",2,"64,146775","4,828483",0,"2,912521","24,753094","7,993221",
213,"0,006442","0,043813","0,019449","0,007532",2,"77,235793","9,724393",0,"11,480093","24,458408","4,686356",
214,"0,005339","0,035273","0,021134","0,007893",2,"69,639696","10,567092",0,"2,40159","25,396347","4,088163",
215,"0,006049","0,034542","0,008111","0,007698",3,"56,399823","2,703622",0,"2,536297","24,617672","4,239798",
216,"0,00642","0,035049","0,007944","0,008137",3,"57,550006","2,648047",0,"2,8193","23,96059","3,478527",
217,"0,005388","0,035699","0,00923","0,009021",4,"59,337843","2,307494",0,"2,491236","25,050879","4,709482",
218,"0,005527","0,03728","0,008021","0,008139",5,"58,966342","1,604195",0,"3,947496","24,122477","4,595518",
219,"0,005381","0,034261","0,009796","0,007979",5,"57,416849","1,959208",0,"2,602816","24,089813","4,089355",
220,"0,005387","0,038404","0,009051","0,007982",4,"60,823429","2,262668",0,"7,124901","24,26219","4,089832",
221,"0,005608","0,033126","0,018163","0,008163",5,"65,060243","3,632686",0,"3,192663","23,455858","3,59273",
222,"0,006205","0,034356","0,020342","0,009369",5,"70,271876","4,068336",0,"2,824783","24,123669","4,549026",
223,"0,005392","0,035673","0,019443","0,008777",5,"69,285634","3,888611",0,"2,555609","24,533272","3,962517",
224,"0,009214","0,037605","0,033862","0,013657",5,"94,337808","6,772414",0,"3,545284","24,784803","5,449772",
225,"0,007811","0,03864","0,008663","0,009152",5,"64,265754","1,732507",0,"2,347469","23,653984","9,524822",
226,"0,005959","0,034038","0,008196","0,009356",5,"57,548789","1,639127",0,"2,40016","24,764776","3,961563",
227,"0,006066","0,033025","0,008306","0,009053",4,"56,44968","2,07643",0,"2,453804","23,801088","3,992319",
228,"0,008072","0,033074","0,007953","0,008369",4,"57,468181","1,988283",0,"2,443552","23,716927","4,169941",
229,"0,005645","0,033047","0,009017","0,010119",4,"57,827393","2,254196",0,"2,16794","23,437977","3,874063",
230,"0,008224","0,039207","0,00768","0,010036",4,"65,147927","1,920121",0,"5,709887","23,95606","5,601168",
231,"0,006091","0,034885","0,007699","0,009149",4,"57,823905","1,924865",0,"3,957272","24,274588","3,877163",
232,"0,006209","0,032927","0,018218","0,008592",4,"65,946899","4,554514",0,"2,560854","23,27776","4,079103",
233,"0,005364","0,034817","0,007993","0,009181",4,"57,35416","1,998196",0,"2,350807","24,599314","4,337311",
234,"0,005379","0,034274","0,032028","0,010302",4,"81,984559","8,007102",0,"2,274752","24,326563","3,573418",
235,"0,005484","0,038023","0,00791","0,008723",4,"60,139789","1,977459",0,"2,168894","23,995161","9,043217",
236,"0,00531","0,032888","0,006998","0,008649",4,"53,845113","1,749595",0,"2,506018","23,849964","3,525496",
237,"0,005803","0,035117","0,006704","0,018237",4,"65,860079","1,675913",0,"3,880978","24,641991","3,798008",
238,"0,007167","0,033471","0,008018","0,00824",4,"56,896705","2,004516",0,"2,518892","23,359776","3,836632",
239,"0,005965","0,033696","0,00657","0,008004",4,"54,235462","1,642615",0,"3,200293","23,906231","3,645182",
240,"0,005491","0,033367","0,00653","0,007949",4,"53,337863","1,632599",0,"2,476454","23,860455","3,64399",
241,"0,005436","0,03436","0,006971","0,008755",4,"55,521426","1,742779",0,"2,775908","23,80681","3,64852",
242,"0,005769","0,034066","0,007608","0,008097",4,"55,540468","1,901968",0,"2,413988","24,333477","3,609657",
243,"0,005724","0,033943","0,03268","0,009365",4,"81,711556","8,169963",0,"2,951145","23,848772","3,87001",
244,"0,005372","0,03848","0,00715","0,007584",4,"58,585335","1,787396",0,"3,969669","23,218632","8,340836",
245,"0,006215","0,035559","0,006735","0,007694",4,"56,202951","1,683673",0,"2,414227","26,027918","3,663063",
246,"0,005572","0,034509","0,028255","0,008663",4,"76,997701","7,063678",0,"4,077673","23,916483","3,708124",
247,"0,006181","0,036488","0,020057","0,008081",4,"70,807251","5,014273",0,"2,205133","23,262024","8,16226",
248,"0,005582","0,034593","0,006463","0,008139",4,"54,777495","1,615871",0,"2,766848","24,35565","4,402876",
