Frame,Captura,Procesamiento,Tracking(ms),Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms)
921,"0,005698","0,041689","56,054465","0,034253",77,"137,69476","0,72798"
922,"0,009852","0,059115","53,385434","0,038983",77,"161,335946","0,693317"
923,"0,007804","0,054241","53,397947","0,031858",77,"147,301256","0,69348"
924,"0,006555","0,082259","49,763204","0,040617",76,"179,194156","0,654779"
925,"0,009247","0,074675","56,574362","0,037603",75,"178,10018","0,754325"
926,"0,007143","0,085778","57,183129","0,038068",74,"188,172015","0,772745"
927,"0,008357","0,075415","50,822137","0,036617",75,"171,211289","0,677628"
928,"0,007448","0,057347","52,194718","0,035613",75,"152,601844","0,69593"
929,"0,008571","0,064827","52,656694","0,03564",75,"161,694877","0,702089"
930,"0,008631","0,045424","51,856141","0,037257",75,"143,167865","0,691415"
931,"0,009722","0,037942","52,616596","0,046818",74,"147,098272","0,711035"
932,"0,008794","0,042788","56,458868","0,034566",77,"142,606684","0,733232"
933,"0,00855","0,037949","52,517135","0,034751",78,"133,767522","0,673297"
934,"0,008082","0,037435","51,710886","0,03056",78,"127,788531","0,66296"
935,"0,007776","0,036248","55,371005","0,033854",76,"133,249382","0,728566"
936,"0,008092","0,047439","50,617743","0,037638",75,"143,786999","0,674903"
937,"0,007173","0,046573","55,420512","0,048012",73,"157,178199","0,759185"
938,"0,007568","0,038524","78,62139","0,060256",75,"184,969101","1,048285"
939,"0,010335","0,037448","74,875473","0,041845",73,"164,503848","1,025691"
940,"0,008413","0,039159","61,872932","0,03114",75,"140,58447","0,824972"
941,"0,009569","0,040694","55,464738","0,044091",75,"149,818342","0,73953"
942,"0,006363","0,04193","61,844354","0,085619",75,"195,75588","0,824591"
943,"0,009401","0,045261","105,400047","0,101077",76,"261,13859","1,386843"
944,"0,005792","0,040121","113,75541","0,058464",76,"218,131949","1,496782"
945,"0,00941","0,03841","84,132194","0,057281",73,"189,232545","1,152496"
946,"0,01064","0,042356","72,967665","0,046101",74,"172,064516","0,98605"
947,"0,008629","0,037339","62,939321","0,050159",77,"159,06655","0,817394"
