Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS
200,"0,006394","0,018552","0,006668","0,00683",3,"38,444562","2,222761",0
201,"0,006556","0,017619","0,005931","0,006583",3,"36,689885","1,97716",0
202,"0,006947","0,018431","0,005604","0,007052",3,"38,034589","1,868056",0
203,"0,006063","0,016476","0,008008","0,007182",3,"37,728975","2,669416",0
204,"0,005781","0,018382","0,005872","0,007789",3,"37,824244","1,957468",0
205,"0,005977","0,016957","0,007121","0,008482",3,"38,536374","2,373797",0
206,"0,005832","0,017344","0,006799","0,007272",3,"37,247194","2,266261",0
207,"0,006201","0,017469","0,007081","0,009013",2,"39,764719","3,540502",0
208,"0,00621","0,016092","0,008576","0,012071",2,"42,947909","4,287802",0
209,"0,007277","0,0165","0,00829","0,006911",2,"38,977003","4,144915",0
210,"0,007012","0,01652","0,008195","0,007459",2,"39,18514","4,097569",0
211,"0,006044","0,015881","0,007475","0,006928",2,"36,32715","3,737328",0
212,"0,006886","0,01747","0,011063","0,008939",2,"44,356744","5,531284",0
213,"0,006315","0,017718","0,00916","0,010567",2,"43,759979","4,579992",0
214,"0,005382","0,016192","0,008624","0,008619",2,"38,815875","4,311755",0
215,"0,006555","0,017158","0,01109","0,008738",3,"43,540897","3,696601",0
216,"0,005919","0,019274","0,00823","0,009182",3,"42,605781","2,743489",0
217,"0,006876","0,016524","0,008808","0,008785",4,"40,992843","2,202016",0
218,"0,006743","0,019493","0,009816","0,008555",5,"44,606996","1,963132",0
219,"0,006736","0,016827","0,014257","0,011527",5,"49,347154","2,851449",0
220,"0,007737","0,021178","0,012107","0,009512",4,"50,533035","3,026758",0
221,"0,005952","0,019221","0,009965","0,010653",5,"45,79038","1,993003",0
222,"0,00689","0,018446","0,011262","0,012546",5,"49,144618","2,252445",0
223,"0,005943","0,019261","0,012566","0,011767",5,"49,537531","2,51327",0
224,"0,005916","0,021463","0,009668","0,010324",5,"47,371061","1,933614",0
225,"0,006721","0,018055","0,008982","0,009941",5,"43,699911","1,796494",0
226,"0,0089","0,018216","0,009259","0,011639",5,"48,013908","1,851806",0
227,"0,005283","0,017648","0,008477","0,009288",4,"40,695451","2,119148",0
228,"0,005908","0,01991","0,008565","0,008095",4,"42,478543","2,141309",0
229,"0,006447","0,018972","0,009238","0,011264",4,"45,921521","2,309477",0
230,"0,007965","0,018857","0,009155","0,010722",4,"46,699575","2,288868",0
231,"0,005732","0,018064","0,007325","0,01055",4,"41,670986","1,831278",0
232,"0,006288","0,017755","0,009771","0,010078",4,"43,89221","2,442843",0
233,"0,010734","0,017732","0,007281","0,011638",4,"47,385015","1,820278",0
234,"0,006592","0,018101","0,00815","0,010001",4,"42,843713","2,037416",0
235,"0,005424","0,016433","0,01256","0,009513",4,"43,929715","3,139892",0
236,"0,005902","0,020032","0,010142","0,009617",4,"45,692935","2,535439",0
237,"0,005291","0,017676","0,008524","0,009",4,"40,491698","2,131044",0
238,"0,007064","0,017658","0,007398","0,008306",4,"40,426766","1,849551",0
239,"0,005521","0,01875","0,008426","0,010322",4,"43,019464","2,106427",0
240,"0,006869","0,019971","0,006328","0,009273",4,"42,440973","1,581963",0
241,"0,007082","0,019086","0,006182","0,010569",4,"42,919588","1,545521",0
242,"0,005533","0,016622","0,006272","0,009342",4,"37,76962","1,568042",0
243,"0,005401","0,022286","0,005899","0,008155",4,"41,740046","1,47463",0
244,"0,006559","0,015867","0,00703","0,007949",4,"37,405153","1,757539",0
245,"0,007523","0,018076","0,00702","0,007803",4,"40,42107","1,75497",0
246,"0,005357","0,018533","0,007624","0,008292",4,"39,806225","1,90601",0
247,"0,007435","0,016708","0,00813","0,009337",4,"41,609957","2,032424",0
248,"0,005591","0,015705","0,00701","0,011721",4,"40,026396","1,75245",0
249,"0,005876","0,016528","0,012134","0,01349",4,"48,027189","3,033463",0
250,"0,006316","0,018825","0,006406","0,007774",4,"39,321786","1,601587",0
251,"0,005752","0,015809","0,009533","0,007835",4,"38,929959","2,383272",0
252,"0,006186","0,01733","0,009489","0,00853",4,"41,535172","2,372343",0
253,"0,005608","0,019994","0,007604","0,008948",4,"42,154272","1,900969",0
254,"0,005932","0,016169","0,008829","0,007332",4,"38,262121","2,207232",0
255,"0,00575","0,022111","0,007318","0,008192",4,"43,370009","1,829446",0
256,"0,005692","0,01515","0,015593","0,008501",4,"44,936835","3,898184",0
257,"0,005773","0,022373","0,00957","0,009928",5,"47,643012","1,913908",0
258,"0,006634","0,018064","0,00949","0,008972",5,"43,159502","1,897971",0
259,"0,007302","0,017124","0,009623","0,011036",5,"45,085386","1,924635",0
260,"0,005695","0,016635","0,014381","0,011594",6,"48,305634","2,396838",0
261,"0,005986","0,021651","0,009896","0,008516",6,"46,049144","1,6494",0
