Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms)
167,"0,005497","0,016542","0,006933","0,007511",1,"36,483215","6,932904"
168,"0,005346","0,022307","0,007695","0,011180",3,"46,528046","2,565154"
169,"0,005286","0,017293","0,006770","0,009104",3,"38,452633","2,256790"
170,"0,006356","0,018411","0,009009","0,009034",3,"42,808927","3,003005"
171,"0,005295","0,017196","0,008210","0,006425",3,"37,126951","2,736723"
172,"0,005499","0,018850","0,009122","0,007668",3,"41,139137","3,040585"
173,"0,005376","0,016503","0,009982","0,008881",3,"40,742225","3,327412"
174,"0,006392","0,017876","0,007501","0,006512",3,"38,279956","2,500383"
175,"0,008124","0,017842","0,010781","0,008795",3,"45,541767","3,593748"
176,"0,006116","0,017944","0,008201","0,006798",3,"39,058449","2,733576"
177,"0,005539","0,018457","0,007034","0,007663",3,"38,692450","2,344729"
178,"0,006189","0,017378","0,010593","0,012025",3,"46,185121","3,530993"
179,"0,006862","0,018222","0,007628","0,006912",3,"39,623431","2,542561"
180,"0,005327","0,016844","0,005610","0,007931",3,"35,711922","1,870002"
181,"0,006042","0,015982","0,008777","0,013442",3,"44,242806","2,925648"
182,"0,005286","0,016836","0,009346","0,009666",3,"41,134622","3,115404"
183,"0,005400","0,018150","0,007136","0,008912",3,"39,598213","2,378587"
184,"0,005278","0,014889","0,005733","0,006916",3,"32,815266","1,910846"
185,"0,005265","0,017310","0,006522","0,007489",3,"36,587603","2,174088"
186,"0,006564","0,016020","0,007301","0,008890",3,"38,775335","2,433778"
187,"0,005403","0,016145","0,006287","0,007707",3,"35,541964","2,095568"
188,"0,005416","0,020266","0,005395","0,007281",3,"38,358324","1,798383"
189,"0,006168","0,014786","0,008161","0,010977",3,"40,091864","2,720338"
190,"0,006257","0,017390","0,010060","0,008409",3,"42,116228","3,353482"
191,"0,007076","0,017695","0,010648","0,007339",3,"42,757151","3,549181"
