Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess,,Captura,Procesamiento,Tracking,Escritura
141,"0,010322","0,01942","0,002765","0,008054",0,0,0,9,"5,362988","8,55732","3,094673",,,,,
142,"0,010107","0,01881","0,006543","0,010565",0,0,0,10,"4,756689","8,476734","3,143311",,,,,
143,"0,010044","0,019101","0,002515","0,009425",0,0,0,10,"4,758835","8,562088","3,385067",,,,,
144,"0,01016","0,01949","0,003847","0,012604",0,0,0,11,"4,731655","9,512663","3,015041",,,,,
145,"0,01231","0,020209","0,004689","0,010666",0,0,0,11,"5,78928","8,514166","3,492832",,,,,
146,"0,011284","0,020869","0,00359","0,009178",0,0,0,11,"7,004738","8,524179","3,080368",,,,,
147,"0,010282","0,017934","0,003213","0,009104",0,0,0,11,"3,708363","8,503437","3,418207",,,,,
148,"0,01008","0,022506","0,004697","0,009306",0,0,0,10,"7,796764","8,998156","3,098726",,,,,
149,"0,010001","0,024215","0,004738","0,011682",0,0,0,11,"4,710197","9,705305","3,905058",,,,,
150,"0,009972","0,022221","0,002549","0,008397",0,0,0,10,"4,714489","9,959459","2,954721",,,,,
151,"0,011733","0,026112","0,005536","0,007659",0,0,0,12,"7,252455","12,359619","3,629923",,,,,
152,"0,011101","0,027485","0,001977","0,007676",0,0,0,9,"5,157471","11,588097","3,601789",,,,,
153,"0,010144","0,027704","0,002027","0,008393",0,0,0,9,"7,374525","14,193058","3,715277",,,,,
154,"0,013268","0,026285","0,004674","0,009624",0,0,0,11,"7,237911","12,11071","3,598213",,,,,
155,"0,010129","0,024041","0,004736","0,01037",0,0,0,10,"6,628752","11,520624","3,424644",,,,,
156,"0,011391","0,024242","0,005266","0,011822",0,0,0,10,"5,97167","11,692524","4,202127",,,,,
157,"0,010053","0,027","0,003876","0,011899",0,0,0,10,"7,784128","11,27553","4,34804",,,,,
158,"0,010257","0,026573","0,004545","0,008744",0,0,0,0,"10,747194","9,749413","3,06344",,,,,
159,"0,010434","0,020281","0,005556","0,010544",0,0,0,0,"5,772114","7,936954","3,130436",,,,,
160,"0,010988","0,018909","0,002637","0,009399",0,0,0,0,"4,601955","8,557796","3,27754",,,,,
161,"0,010455","0,027554","0,008369","0,011052",0,0,0,0,"4,751921","9,434938","8,380651",,,,,
162,"0,012935","0,025308","0,012636","0,015639",1,0,0,0,"3,984451","9,516478","7,380009",,,,,
163,"0,01204","0,02489","0,010671","0,013851",1,0,0,0,"4,00877","10,637045","6,272078",,,,,
164,"0,011242","0,027201","0,008754","0,010946",1,0,0,0,"7,232428","9,941578","5,901337",,,,,
165,"0,011093","0,027292","0,013761","0,011075",1,0,0,0,"6,124735","9,823322","6,532907",,,,,
166,"0,013794","0,027231","0,013695","0,01032",1,0,0,0,"5,017519","9,927273","8,101702",,,,,
167,"0,011198","0,0284","0,012516","0,012218",1,0,0,0,"3,840446","9,455204","7,858515",,,,,
168,"0,011214","0,037315","0,016631","0,017722",3,0,0,0,"14,429331","9,41205","7,791519",,,,,
169,"0,011049","0,030163","0,010308","0,01491",3,0,0,0,"4,374504","9,110451","8,599997",,,,,
170,"0,010208","0,029893","0,017462","0,016936",3,0,0,0,"4,408121","9,135962","7,846355",,,,,
171,"0,010059","0,028923","0,010284","0,010792",3,0,0,0,"5,329609","9,745121","9,19652",,,,,
172,"0,010178","0,024861","0,011024","0,012538",3,0,0,0,"4,21834","9,101391","5,925894",,,,,
173,"0,010155","0,030745","0,009643","0,013145",3,0,0,0,"6,950378","8,002758","5,998611",,,,,
174,"0,014279","0,034848","0,016971","0,011365",3,0,0,0,"6,011963","10,900021","9,918213",,,,,
175,"0,011027","0,033987","0,017107","0,011083",3,0,0,0,"4,698038","14,554501","7,9422",,,,,
176,"0,012128","0,033599","0,01229","0,010781",3,0,0,0,"5,372524","13,843536","7,822275",,,,,
177,"0,015535","0,033173","0,013129","0,011434",3,0,0,0,"4,082203","14,565229","7,873058",,,,,
178,"0,012656","0,037193","0,013208","0,011485",3,0,0,0,"9,256601","12,642145","7,714033",,,,,
179,"0,014357","0,0319","0,012203","0,010895",3,0,0,0,"5,52702","12,263775","7,430792",,,,,
180,"0,01089","0,042502","0,012822","0,01298",3,0,0,0,"5,733728","12,845278","15,575171",,,,,
181,"0,01146","0,034587","0,017874","0,017557",3,0,0,0,"6,201982","12,46357","7,457018",,,,,
182,"0,011178","0,042523","0,011628","0,014006",3,0,0,0,"6,208658","13,068199","8,456945",,,,,
183,"0,011174","0,035198","0,015276","0,013726",3,0,0,0,"5,718708","12,742758","8,950472",,,,,
184,"0,012301","0,035749","0,011479","0,011285",3,0,0,0,"8,016348","13,093233","7,121325",,,,,
185,"0,010205","0,035528","0,01408","0,011752",3,0,0,0,"6,134748","12,399197","9,197474",,,,,
186,"0,010257","0,032867","0,016216","0,012053",3,0,0,0,"5,735874","12,280941","7,755995",,,,,
187,"0,01106","0,03557","0,016612","0,013221",3,0,0,0,"8,276463","12,363434","8,069277",,,,,
188,"0,009931","0,034682","0,011469","0,011672",3,0,0,0,"4,656553","13,292789","9,706974",,,,,
189,"0,01413","0,034634","0,016659","0,011099",3,0,0,0,"6,539345","12,67767","8,939505",,,,,
190,"0,01086","0,037093","0,022592","0,011986",3,0,0,0,"8,652449","12,56752","8,930206",,,,,
191,"0,016318","0,03791","0,011543","0,011465",3,0,0,0,"3,718615","15,722036","10,802984",,,,,
192,"0,011663","0,035092","0,011469","0,012738",3,0,0,0,"7,235765","12,395859","7,565498",,,,,
193,"0,010006","0,03182","0,009065","0,015138",3,0,0,0,"5,084038","12,474298","8,026361",,,,,
194,"0,011144","0,024086","0,009732","0,01398",3,0,0,0,"3,975868","7,983923","5,816221",,,,,
195,"0,012758","0,02287","0,009372","0,012014",3,0,0,0,"4,43244","8,162975","5,862713",,,,,
196,"0,01227","0,026287","0,016604","0,013391",3,0,0,0,"4,25601","11,160851","6,080627",,,,,
197,"0,011962","0,030723","0,013345","0,014438",3,0,0,0,"4,914522","9,411335","9,588957",,,,,
198,"0,011232","0,027595","0,010259","0,011618",3,0,0,0,"3,945112","10,844231","7,862806",,,,,
199,"0,009963","0,024741","0,019921","0,011452",3,0,0,0,"4,617929","8,474588","5,968094",,,,,
200,"0,010534","0,034675","0,01091","0,01317",3,0,0,0,"10,939598","9,947777","5,700588",,,,,
201,"0,015371","0,029091","0,009938","0,01322",3,0,0,0,"8,647203","8,01897","6,309271",,,,,
202,"0,009941","0,022724","0,010735","0,01399",3,0,0,0,"3,618717","8,058071","6,176472",,,,,
203,"0,010086","0,022925","0,009577","0,013811",3,0,0,0,"4,142284","8,018732","6,29878",,,,,
204,"0,011873","0,024646","0,011385","0,015753",3,0,0,0,"5,90992","7,965326","5,912304",,,,,
205,"0,010202","0,023744","0,010746","0,015615",3,0,0,0,"4,299641","8,084536","6,752491",,,,,
206,"0,010832","0,023347","0,009707","0,014131",3,0,0,0,"5,135059","8,000851","5,76973",,,,,
207,"0,010422","0,022571","0,012817","0,01215",2,0,0,0,"3,791094","7,941723","5,789995",,,,,
208,"0,011463","0,024492","0,00958","0,017296",2,0,0,0,"3,407478","8,813143","7,843494",,,,,
209,"0,015267","0,025293","0,011252","0,011364",2,0,0,0,"4,366159","9,243488","6,088018",,,,,
210,"0,010572","0,027536","0,008976","0,014607",2,0,0,0,"8,324146","8,119345","6,284237",,,,,
211,"0,010755","0,022214","0,016733","0,012977",2,0,0,0,"3,906012","7,933855","5,798817",,,,,
212,"0,010946","0,026874","0,01623","0,012973",2,0,0,0,"3,857136","9,340286","8,325338",,,,,
213,"0,010607","0,02772","0,009211","0,013784",2,0,0,0,"3,900528","9,130239","7,641792",,,,,
214,"0,010475","0,022065","0,010467","0,013899",2,0,0,0,"4,026651","8,046865","5,639315",,,,,
215,"0,010756","0,022661","0,017988","0,013197",3,0,0,0,"3,382444","8,110762","6,277561",,,,,
216,"0,010724","0,030233","0,01856","0,014078",3,0,0,0,"4,365921","9,304762","12,060404",,,,,
217,"0,011399","0,031825","0,016276","0,014572",4,0,0,0,"5,250454","15,069246","6,989241",,,,,
218,"0,010652","0,02778","0,016299","0,014967",5,0,0,0,"5,764246","8,122921","9,341955",,,,,
219,"0,013289","0,028272","0,022921","0,014669",5,0,0,0,"4,350901","10,544062","8,795977",,,,,
220,"0,012164","0,034292","0,015828","0,015478",4,0,0,0,"3,774166","9,69243","16,091347",,,,,
221,"0,01147","0,029685","0,013584","0,015338",5,0,0,0,"4,112482","9,618759","11,228085",,,,,
222,"0,010213","0,026766","0,015469","0,027608",5,0,0,0,"4,554033","11,363268","6,486893",,,,,
223,"0,012931","0,031023","0,017384","0,015037",5,0,0,0,"8,087873","8,926868","8,222103",,,,,
224,"0,013012","0,037518","0,011564","0,016102",5,0,0,0,"17,47179","9,126425","6,179333",,,,,
225,"0,010527","0,024189","0,018313","0,016322",5,0,0,0,"3,968716","8,511543","7,084846",,,,,
226,"0,012419","0,030461","0,016637","0,01613",5,0,0,0,"5,887508","9,46331","10,389805",,,,,
227,"0,010577","0,029527","0,011213","0,01613",4,0,0,0,"4,676819","9,2237","8,624792",,,,,
228,"0,010649","0,023641","0,013419","0,014734",4,0,0,0,"4,168749","8,692026","6,102562",,,,,
229,"0,016193","0,026573","0,014963","0,024017",4,0,0,0,"4,123449","8,242607","9,006023",,,,,
230,"0,013384","0,026756","0,017459","0,017815",4,0,0,0,"3,73745","9,373665","9,217739",,,,,
231,"0,012651","0,030179","0,012657","0,020395",4,0,0,0,"3,879547","9,272575","11,44433",,,,,
232,"0,012247","0,02673","0,012363","0,021081",4,0,0,0,"3,816128","9,89747","7,133007",,,,,
233,"0,014911","0,024713","0,015168","0,01801",4,0,0,0,"3,850698","10,075331","6,331444",,,,,
234,"0,011312","0,027041","0,01269","0,016098",4,0,0,0,"4,932404","7,926464","8,962154",,,,,
235,"0,012273","0,027967","0,011371","0,016101",4,0,0,0,"7,792234","8,277416","7,289648",,,,,
236,"0,011939","0,023934","0,015104","0,016809",4,0,0,0,"3,901005","8,836985","6,227732",,,,,
237,"0,011923","0,027139","0,015152","0,018451",4,0,0,0,"7,77173","8,217096","6,514788",,,,,
238,"0,013322","0,026952","0,0129","0,015592",4,0,0,0,"4,429817","9,675741","8,123159",,,,,
239,"0,012076","0,026918","0,01005","0,013818",4,0,0,0,"6,744146","9,925127","5,874157",,,,,
240,"0,014301","0,028833","0,012049","0,013986",4,0,0,0,"9,750843","7,969141","6,324053",,,,,
241,"0,011422","0,031457","0,011713","0,016436",4,0,0,0,"12,137413","7,932663","6,335497",,,,,
242,"0,014209","0,031774","0,013504","0,013766",4,0,0,0,"11,254311","8,006334","6,881237",,,,,
243,"0,010226","0,028746","0,010993","0,015489",4,0,0,0,"9,233475","7,967949","5,983353",,,,,
244,"0,010987","0,027148","0,012601","0,013755",4,0,0,0,"4,406691","8,384705","8,449793",,,,,
245,"0,012192","0,029234","0,015982","0,016538",4,0,0,0,"7,47776","9,410143","7,297993",,,,,
246,"0,012969","0,028241","0,010032","0,016006",4,0,0,0,"3,767014","8,495808","9,58848",,,,,
247,"0,010995","0,023336","0,01593","0,014339",4,0,0,0,"4,683971","7,981539","6,176472",,,,,
248,"0,012237","0,027454","0,017095","0,016803",4,0,0,0,"3,531456","9,036779","8,429527",,,,,
249,"0,011264","0,027224","0,013033","0,022409",4,0,0,0,"3,659248","9,830475","8,047819",,,,,
250,"0,0105","0,027508","0,01206","0,015817",4,0,0,0,"8,449554","8,197069","6,204844",,,,,
251,"0,01122","0,024673","0,010037","0,01427",4,0,0,0,"5,642414","7,983446","5,963564",,,,,
252,"0,011959","0,023344","0,011477","0,014498",4,0,0,0,"4,181385","8,051395","6,376982",,,,,
253,"0,0147","0,025895","0,013159","0,014542",4,0,0,0,"4,917383","7,936478","5,960703",,,,,
254,"0,011493","0,027647","0,021563","0,013522",4,0,0,0,"8,327961","7,949591","5,978346",,,,,
255,"0,014451","0,032675","0,012184","0,013434",4,0,0,0,"3,657103","10,337114","13,539314",,,,,
256,"0,010311","0,024587","0,018336","0,014622",4,0,0,0,"5,261183","8,068323","6,613016",,,,,
257,"0,01219","0,032441","0,018929","0,015038",5,0,0,0,"3,638029","11,160612","11,924267",,,,,
258,"0,010714","0,03248","0,01548","0,014575",5,0,0,0,"4,40073","10,286093","11,539459",,,,,
259,"0,011171","0,027574","0,015491","0,014035",5,0,0,0,"5,239725","8,136749","8,428574",,,,,
