Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess
105,"0,005384","0,013619","0,000627","0,005826",0,0,0,0,"2,164125","7,327795","1,910448"
106,"0,006053","0,012312","0,001241","0,004366",0,0,0,0,"1,88899","6,090403","1,890182"
107,"0,006031","0,014148","0,0015","0,005543",0,0,0,0,"3,118753","6,63805","1,971483"
108,"0,005568","0,012386","0,000591","0,006679",0,0,0,0,"2,016068","6,06513","1,856089"
109,"0,005283","0,012028","0,000697","0,005777",0,0,0,0,"2,120018","5,725145","1,807451"
110,"0,00548","0,012753","0,000603","0,004746",0,0,0,0,"2,475262","5,781174","2,195597"
111,"0,006669","0,012824","0,000593","0,007053",0,0,0,0,"2,337933","6,243467","1,872778"
112,"0,005408","0,012614","0,000819","0,004766",0,0,0,0,"2,179146","6,112576","1,917601"
113,"0,005398","0,012792","0,000555","0,004598",0,0,0,0,"2,20108","6,167889","2,079725"
114,"0,005392","0,012048","0,002314","0,004382",0,0,0,0,"2,123117","5,741119","1,824617"
115,"0,005517","0,013112","0,000587","0,004616",0,0,0,0,"2,516508","6,20389","1,886129"
116,"0,005495","0,014327","0,00143","0,004507",0,0,0,0,"2,863646","6,287098","1,949787"
117,"0,005424","0,013608","0,000709","0,003861",0,0,0,0,"2,592325","6,07419","1,915932"
118,"0,005351","0,012803","0,002605","0,004589",0,0,0,0,"2,211809","5,705357","1,957893"
119,"0,005341","0,015142","0,000596","0,003913",0,0,0,0,"2,333879","7,315159","3,06201"
120,"0,005275","0,012384","0,000551","0,006338",0,0,0,0,"2,084732","5,821705","2,031088"
121,"0,005403","0,012128","0,001705","0,005211",0,0,0,0,"2,099514","5,788326","1,903534"
122,"0,005565","0,014489","0,000648","0,004697",0,0,0,0,"2,223015","7,393599","2,013683"
123,"0,005477","0,013689","0,000765","0,003972",0,0,0,0,"2,049446","7,249594","2,051592"
124,"0,005598","0,014548","0,000694","0,004607",0,0,0,0,"2,445936","7,117987","1,915693"
125,"0,005285","0,014989","0,000642","0,004452",0,0,0,0,"2,951145","7,423639","2,220869"
126,"0,005416","0,013836","0,001412","0,005296",0,0,0,0,"2,333403","7,249594","1,964092"
