Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total(ms),Tiempo por Objeto tracking(ms),FPS,Preprocess,Inference,Postprocess
205,"0,00569","0,021675","0,007871","0,009071",3,0,0,0,"6,786108","6,783485","3,965616"
206,"0,005993","0,017784","0,006455","0,007555",3,0,0,0,"2,163172","7,764578","5,089521"
207,"0,006361","0,018851","0,006843","0,007325",2,0,0,0,"2,707481","8,245945","4,615307"
208,"0,006917","0,016109","0,00718","0,008123",2,0,0,0,"2,75588","6,24609","3,673077"
209,"0,00588","0,017668","0,006198","0,00685",2,0,0,0,"2,475023","7,998466","3,840446"
210,"0,006349","0,016115","0,005649","0,007067",2,0,0,0,"2,889395","6,185055","3,623009"
211,"0,006926","0,018005","0,008664","0,007987",2,0,0,0,"3,240108","6,805897","3,965378"
212,"0,005654","0,015534","0,007326","0,007221",2,0,0,0,"2,122402","6,694078","3,403664"
213,"0,005752","0,019422","0,005877","0,008652",2,0,0,0,"3,096581","7,579803","3,795862"
214,"0,005795","0,017898","0,007557","0,010119",2,0,0,0,"3,758669","5,718231","3,952026"
215,"0,006271","0,016259","0,008535","0,008294",3,0,0,0,"2,135038","6,593704","3,931522"
216,"0,005816","0,017442","0,010751","0,008697",3,0,0,0,"3,526926","6,175756","4,667997"
217,"0,005416","0,017962","0,013607","0,008919",4,0,0,0,"2,497911","7,307768","4,893064"
218,"0,006467","0,02073","0,009271","0,009275",5,0,0,0,"2,8193","8,575678","6,688356"
219,"0,006059","0,01805","0,009435","0,008777",5,0,0,0,"2,461195","7,920742","3,73292"
220,"0,006037","0,017549","0,008031","0,007855",4,0,0,0,"2,963066","7,185459","3,591537"
221,"0,006118","0,017636","0,007822","0,008431",5,0,0,0,"3,029108","7,092476","4,302263"
222,"0,005653","0,016148","0,008386","0,010385",5,0,0,0,"2,867699","6,889343","3,521681"
223,"0,005321","0,017319","0,00752","0,008391",5,0,0,0,"3,243685","7,533312","3,592253"
224,"0,006764","0,01721","0,01616","0,012512",5,0,0,0,"2,559662","8,041859","3,636599"
225,"0,005942","0,022395","0,007907","0,010245",5,0,0,0,"2,180815","8,164644","8,913994"
226,"0,006555","0,017978","0,008043","0,012479",5,0,0,0,"2,547026","6,815195","4,342556"
227,"0,005981","0,015555","0,007359","0,008921",4,0,0,0,"2,148151","6,340027","4,258394"
228,"0,005287","0,017776","0,006754","0,008636",4,0,0,0,"2,337456","7,044315","5,239487"
229,"0,005326","0,014968","0,008047","0,011044",4,0,0,0,"2,353191","5,800247","3,485203"
230,"0,006473","0,01719","0,007579","0,01126",4,0,0,0,"3,736973","5,672455","4,919291"
