Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total (ms),Tiempo por Objeto Tracking (ms),Preprocess,Inference,Postprocess,Frames Per Second
71,"0,005403","0,019002","0,005330","0,006229",9,"35,963913","0,592224","2,576351","6,111622","3,721237",
72,"0,005441","0,020677","0,005545","0,008756",9,"40,418233","0,616077","2,212763","8,855581","4,145384",
72,"0,005441","0,020677","0,005545","0,008756",9,"40,418233","0,616077","2,212763","8,855581","4,145384",
73,"0,005414","0,021018","0,005186","0,007776",9,"39,394204","0,576208","2,582788","5,862236","4,943609",
73,"0,005414","0,021018","0,005186","0,007776",9,"39,394204","0,576208","2,582788","5,862236","4,943609",
74,"0,005275","0,017846","0,005754","0,006339",9,"35,213859","0,639293","2,290726","5,872250","3,502131",
74,"0,005275","0,017846","0,005754","0,006339",9,"35,213859","0,639293","2,290726","5,872250","3,502131",
75,"0,005256","0,020016","0,005772","0,006923",9,"37,967421","0,641352","2,467155","6,966829","3,865480",
75,"0,005256","0,020016","0,005772","0,006923",9,"37,967421","0,641352","2,467155","6,966829","3,865480",
76,"0,005517","0,021182","0,005517","0,005627",9,"37,842258","0,613029","2,572298","7,700682","3,813028",
76,"0,005517","0,021182","0,005517","0,005627",9,"37,842258","0,613029","2,572298","7,700682","3,813028",
77,"0,006834","0,023083","0,006145","0,005460",9,"41,522333","0,682742","2,392530","8,347034","5,801916",
77,"0,006834","0,023083","0,006145","0,005460",9,"41,522333","0,682742","2,392530","8,347034","5,801916",
78,"0,005288","0,019565","0,005326","0,006371",9,"36,550108","0,591794","2,187014","5,852461","3,894091",
78,"0,005288","0,019565","0,005326","0,006371",9,"36,550108","0,591794","2,187014","5,852461","3,894091",
79,"0,005581","0,018404","0,005502","0,006538",9,"36,024205","0,611308","2,410889","6,171465","3,790379",
79,"0,005581","0,018404","0,005502","0,006538",9,"36,024205","0,611308","2,410889","6,171465","3,790379",
80,"0,007101","0,018250","0,005375","0,006205",9,"36,931584","0,597238","2,581596","5,839586","3,798723",
80,"0,007101","0,018250","0,005375","0,006205",9,"36,931584","0,597238","2,581596","5,839586","3,798723",
81,"0,005420","0,020662","0,006046","0,006531",9,"38,658330","0,671740","2,271414","8,935452","3,765583",
81,"0,005420","0,020662","0,006046","0,006531",9,"38,658330","0,671740","2,271414","8,935452","3,765583",
82,"0,005311","0,024559","0,005366","0,005948",9,"41,184734","0,596242","2,439976","12,354851","3,525496",
82,"0,005311","0,024559","0,005366","0,005948",9,"41,184734","0,596242","2,439976","12,354851","3,525496",
83,"0,006122","0,023080","0,005350","0,006638",9,"41,189405","0,594414","2,085209","8,651972","3,575087",
83,"0,006122","0,023080","0,005350","0,006638",9,"41,189405","0,594414","2,085209","8,651972","3,575087",
84,"0,006257","0,019177","0,005437","0,010080",9,"40,950985","0,604140","2,479792","6,588221","3,982544",
84,"0,006257","0,019177","0,005437","0,010080",9,"40,950985","0,604140","2,479792","6,588221","3,982544",
85,"0,005856","0,022240","0,005154","0,010783",9,"44,033214","0,572716","7,100821","5,830526","3,413200",
85,"0,005856","0,022240","0,005154","0,010783",9,"44,033214","0,572716","7,100821","5,830526","3,413200",
86,"0,006311","0,020191","0,005263","0,012581",9,"44,346874","0,584831","3,360033","7,319927","3,783464",
86,"0,006311","0,020191","0,005263","0,012581",9,"44,346874","0,584831","3,360033","7,319927","3,783464",
87,"0,006756","0,020662","0,006021","0,008912",9,"42,350405","0,669006","2,502203","7,155180","5,017519",
87,"0,006756","0,020662","0,006021","0,008912",9,"42,350405","0,669006","2,502203","7,155180","5,017519",
88,"0,005948","0,021076","0,006050","0,008120",9,"41,193471","0,672181","2,290964","6,064653","4,010916",
88,"0,005948","0,021076","0,006050","0,008120",9,"41,193471","0,672181","2,290964","6,064653","4,010916",
89,"0,005471","0,020216","0,005355","0,008523",9,"39,565290","0,594966","1,986027","6,429434","5,577326",
89,"0,005471","0,020216","0,005355","0,008523",9,"39,565290","0,594966","1,986027","6,429434","5,577326",
90,"0,005469","0,020072","0,006291","0,007493",9,"39,324981","0,698979","2,086878","6,122351","4,147530",
90,"0,005469","0,020072","0,006291","0,007493",9,"39,324981","0,698979","2,086878","6,122351","4,147530",
91,"0,005643","0,021972","0,005471","0,010265",9,"43,351425","0,607902","2,292871","8,922577","5,051136",
91,"0,005643","0,021972","0,005471","0,010265",9,"43,351425","0,607902","2,292871","8,922577","5,051136",
92,"0,005433","0,020024","0,006605","0,015276",9,"47,338439","0,733926","2,107859","5,826235","6,140471",
92,"0,005433","0,020024","0,006605","0,015276",9,"47,338439","0,733926","2,107859","5,826235","6,140471",
93,"0,005396","0,021855","0,006519","0,010240",8,"44,009308","0,814829","2,410173","6,063461","4,893064",
93,"0,005396","0,021855","0,006519","0,010240",8,"44,009308","0,814829","2,410173","6,063461","4,893064",
94,"0,005330","0,019763","0,005392","0,010020",8,"40,504478","0,674049","2,396584","6,515026","4,637957",
94,"0,005330","0,019763","0,005392","0,010020",8,"40,504478","0,674049","2,396584","6,515026","4,637957",
95,"0,006170","0,019467","0,005882","0,009609",9,"41,127575","0,653559","2,682209","7,169962","3,666401",
95,"0,006170","0,019467","0,005882","0,009609",9,"41,127575","0,653559","2,682209","7,169962","3,666401",
96,"0,005460","0,021718","0,005155","0,008661",9,"40,993739","0,572741","2,660036","7,482290","5,134106",
96,"0,005460","0,021718","0,005155","0,008661",9,"40,993739","0,572741","2,660036","7,482290","5,134106",
97,"0,006195","0,022836","0,008085","0,008998",9,"46,113944","0,898317","2,054691","6,844044","4,694939",
97,"0,006195","0,022836","0,008085","0,008998",9,"46,113944","0,898317","2,054691","6,844044","4,694939",
