Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total (ms),Tiempo por Objeto Tracking (ms),Preprocess,Inference,Postprocess
200,"0,007083","0,042541","0,003389","0,005455",3,"58,468181","1,129599","2,693176","25,334597","5,524397"
201,"0,005357","0,031521","0,003443","0,006086",3,"46,406823","1,147691","4,424572","12,414694","5,409956"
202,"0,010603","0,017595","0,003283","0,005464",3,"36,946512","1,094472","2,400875","5,766392","4,380226"
203,"0,005417","0,040116","0,004711","0,007622",3,"57,864665","1,570270","2,889872","24,748087","6,165504"
204,"0,006128","0,023379","0,004048","0,007359",3,"40,914664","1,349406","3,466845","9,944916","4,639626"
205,"0,005353","0,044738","0,003282","0,007553",3,"60,925384","1,094088","2,427816","25,183201","7,720232"
206,"0,006066","0,031343","0,003619","0,005973",3,"47,000193","1,206221","3,676176","12,315035","6,258249"
207,"0,005337","0,024119","0,003940","0,007405",2,"40,800513","1,969931","2,281189","6,311893","4,063129"
208,"0,006355","0,044974","0,004236","0,006679",2,"62,244100","2,118018","6,798267","24,344444","6,128073"
209,"0,005398","0,025130","0,003249","0,007069",2,"40,846021","1,624699","3,565073","9,806395","4,583120"
210,"0,005282","0,038455","0,004299","0,005545",2,"53,580883","2,149700","2,323151","25,718212","4,455805"
211,"0,008554","0,032050","0,003316","0,006255",2,"50,174100","1,658013","4,401207","12,615204","7,130384"
212,"0,005308","0,046749","0,003335","0,006496",2,"61,887636","1,667598","3,265619","26,287317","4,574060"
213,"0,007855","0,034969","0,007927","0,007137",2,"57,887353","3,963671","2,440453","13,332367","11,500597"
214,"0,006934","0,025044","0,003648","0,006643",2,"42,269925","1,824053","2,654314","7,540941","4,235268"
215,"0,005432","0,041547","0,004667","0,006892",3,"58,538165","1,555730","3,859282","23,780107","7,668972"
216,"0,007244","0,028305","0,003900","0,006629",3,"46,077716","1,299921","6,543159","10,188341","4,612923"
217,"0,005352","0,041284","0,005125","0,007867",3,"59,628327","1,708378","2,497435","26,265383","4,748583"
218,"0,006560","0,035579","0,007623","0,006678",4,"56,440883","1,905816","4,762888","13,150454","7,789135"
219,"0,005547","0,036344","0,005648","0,007592",4,"55,130327","1,411921","3,237724","6,102324","5,755901"
220,"0,005380","0,041861","0,007240","0,010097",5,"64,576941","1,447907","2,721548","23,885727","4,013062"
221,"0,007314","0,020693","0,005472","0,008724",5,"42,202592","1,094335","2,250433","7,149458","3,956079"
222,"0,007001","0,040120","0,004625","0,007736",5,"59,481825","0,924907","4,717588","23,958445","4,216671"
223,"0,008416","0,032970","0,004444","0,008823",5,"54,652866","0,888873","2,395868","9,544373","12,301683"
