Frame,Captura,Procesamiento,Tracking,Escritura,Cantidad Objetos,Tiempo Total (ms),Tiempo por Objeto Tracking (ms),Preprocess,Inference,Postprocess,FPS
109,"0,005373","0,012966","0,000618","0,007504",0,"26,460573",0,"2,402306","6,057501","2,133846",
110,"0,005322","0,015145","0,000903","0,004192",0,"25,56222",0,"2,513647","8,066416","2,123833",
111,"0,007302","0,013207","0,000666","0,004418",0,"25,591819",0,"3,098965","5,843878","1,87254",
112,"0,007047","0,013018","0,001616","0,004931",0,"26,613249",0,"2,943039","5,859613","1,952171",
113,"0,005412","0,012355","0,00124","0,005616",0,"24,623416",0,"2,313852","5,805731","1,988649",
114,"0,005273","0,012217","0,000588","0,003888",0,"21,96525",0,"2,233744","5,779505","1,929522",
115,"0,005366","0,013766","0,000552","0,005915",0,"25,598476",0,"2,928495","6,260157","2,053976",
116,"0,005492","0,012487","0,000643","0,004335",0,"22,957686",0,"2,168417","5,79977","2,29001",
117,"0,0053","0,013635","0,001466","0,004086",0,"24,486581",0,"2,737045","6,459236","2,114773",
118,"0,005597","0,013375","0,000633","0,005197",0,"24,802299",0,"2,851486","5,79834","2,453566",
119,"0,005462","0,014896","0,000665","0,004041",0,"25,064066",0,"2,221346","8,000851","2,294779",
120,"0,006163","0,012409","0,001375","0,005949",0,"25,895986",0,"2,154827","6,122828","1,8332",
121,"0,005372","0,012702","0,00058","0,006741",0,"25,395463",0,"2,640724","5,777359","1,97649",
122,"0,005366","0,012229","0,001691","0,004252",0,"23,538017",0,"2,291441","5,780697","1,906157",
123,"0,006701","0,012392","0,000729","0,004031",0,"23,852744",0,"2,230406","5,796432","1,904249",
124,"0,005538","0,012337","0,000573","0,004848",0,"23,297149",0,"2,301216","5,874634","1,879215",
125,"0,005299","0,012525","0,000612","0,004746",0,"23,181595",0,"2,240896","5,819798","2,113581",
126,"0,005274","0,013161","0,000552","0,00489",0,"23,876777",0,"2,178669","6,675243","1,992941",
127,"0,005307","0,01221","0,000559","0,004607",0,"22,683121",0,"2,230167","5,758047","1,90568",
128,"0,00666","0,012162","0,000693","0,004399",0,"23,913482",0,"2,142906","5,827427","1,828432",
129,"0,005358","0,011999","0,000616","0,005329",0,"23,302046",0,"2,140522","5,748749","1,791477",
130,"0,006742","0,012303","0,000551","0,005449",0,"25,045056",0,"2,151489","5,72753","1,926422",
131,"0,005382","0,012283","0,000568","0,004568",0,"22,801395",0,"2,283335","5,762339","1,976967",
132,"0,005421","0,012148","0,000563","0,005944",0,"24,075855",0,"2,197266","5,745173","1,809835",
133,"0,005336","0,012548","0,0006","0,007631",0,"26,114231",0,"2,057076","6,284475","1,837492",
134,"0,005358","0,012901","0,001534","0,005269",0,"25,062113",0,"2,321243","5,981445","2,117634",
135,"0,005365","0,012256","0,000709","0,006591",0,"24,921693",0,"2,170801","5,864143","1,86801",
136,"0,005305","0,012329","0,000565","0,004946",0,"23,143963",0,"2,235651","5,796194","2,000332",
137,"0,005384","0,012143","0,000575","0,004896",0,"22,997718",0,"2,149105","5,848169","1,867294",
138,"0,005445","0,012004","0,000712","0,004267",0,"22,428971",0,"2,133846","5,716801","1,812696",
139,"0,005545","0,012807","0,000559","0,005306",0,"24,216303",0,"2,181053","5,732536","2,581596",
140,"0,005377","0,012153","0,000778","0,004069",0,"22,377259",0,"2,219439","5,771399","1,952648",
141,"0,005418","0,012255","0,000634","0,003745",0,"22,052259",0,"2,151966","5,830288","1,883507",
142,"0,005464","0,012777","0,00056","0,00596",0,"24,760858",0,"2,780676","5,762815","1,785278",
143,"0,005305","0,012252","0,001403","0,004622",0,"23,581443",0,"2,284765","5,755663","1,899958",
144,"0,005298","0,012444","0,000591","0,006228",0,"24,56076",0,"2,226114","5,787611","2,108335",
145,"0,005399","0,01321","0,00071","0,005888",0,"25,20666",0,"2,223492","6,559372","2,043486",
146,"0,005311","0,013672","0,001657","0,004315",0,"24,955453",0,"2,954721","6,39677","1,971245",
147,"0,005419","0,012426","0,000648","0,004393",0,"22,88658",0,"2,276182","5,772591","1,95384",
148,"0,00532","0,01645","0,000587","0,005181",0,"27,538099",0,"4,221201","6,616592","1,955986",
149,"0,005334","0,012547","0,000589","0,005684",0,"24,153101",0,"2,098322","5,859852","1,840353",
150,"0,007235","0,012308","0,000666","0,003931",0,"24,139694",0,"2,121449","5,754232","1,852036",
151,"0,005471","0,01332","0,00055","0,004511",0,"23,851976",0,"2,289534","5,755901","1,979589",
152,"0,005811","0,012876","0,000683","0,003787",0,"23,156505",0,"2,346754","5,766153","2,001286",
153,"0,00539","0,012526","0,00161","0,00389",0,"23,415454",0,"2,316475","5,789042","1,939297",
154,"0,005399","0,014253","0,000605","0,005219",0,"25,475367",0,"2,250195","6,887197","2,045631",
155,"0,006369","0,012498","0,000589","0,003961",0,"23,416543",0,"2,167225","5,799532","1,796007",
156,"0,005332","0,012263","0,001521","0,006025",0,"25,14189",0,"2,227783","5,765676","1,856804",
157,"0,005574","0,012199","0,000685","0,005946",0,"24,403923",0,"2,170801","5,778551","1,854658",
158,"0,005474","0,012453","0,000577","0,004003",0,"22,506957",0,"2,152443","5,772829","1,937389",
159,"0,006367","0,012905","0,000649","0,00426",0,"24,181039",0,"2,980947","5,785227","1,902342",
160,"0,005754","0,012258","0,000575","0,005243",0,"23,830758",0,"2,197742","5,733252","1,981497",
161,"0,005466","0,012195","0,0007","0,00464",0,"23,001206",0,"2,160788","5,81646","1,85132",
162,"0,005368","0,017269","0,002256","0,005464",0,"30,357229",0,"2,137661","5,734444","4,889488",
163,"0,006652","0,017537","0,00349","0,006114",1,"33,793234","3,490183","2,777338","5,858898","4,98867",
164,"0,005298","0,016109","0,002884","0,005491",1,"29,782112","2,883515","2,182245","5,864859","4,170179",
165,"0,005378","0,015469","0,003505","0,00484",1,"29,191444","3,504967","2,291203","5,79524","3,692389",
166,"0,005293","0,017145","0,002643","0,005853",1,"30,933336","2,643126","2,241611","6,723642","3,965378",
167,"0,005282","0,017142","0,004151","0,005767",1,"32,342164","4,150997","2,242327","5,740643","4,480362",
168,"0,005336","0,016596","0,00478","0,00636",2,"33,072708","2,389953","2,268314","5,836487","3,840685",
169,"0,005368","0,018952","0,004569","0,006853",3,"35,743035","1,523157","2,204895","8,234262","3,826618",
170,"0,005373","0,016724","0,003882","0,006473",3,"32,451511","1,294085","2,220154","5,86319","3,798008",
171,"0,005297","0,016865","0,003827","0,005326",3,"31,31504","1,275535","2,610922","5,776644","3,802538",
172,"0,005353","0,016846","0,004116","0,005632",3,"31,946317","1,371857","2,496719","5,786419","3,903627",
173,"0,007213","0,017211","0,004563","0,006262",3,"35,248849","1,520874","2,315283","5,899906","4,048109",
174,"0,00533","0,020815","0,00366","0,005557",3,"35,362419","1,220068","2,810478","7,428408","4,133701",
175,"0,005328","0,016976","0,003887","0,005369",3,"31,559364","1,295589","2,159357","5,754948","4,48513",
176,"0,005433","0,016875","0,004583","0,005966",3,"32,85664","1,527637","2,369881","5,791903","3,952742",
177,"0,005793","0,017011","0,003868","0,005862",3,"32,535449","1,289488","2,414227","5,859613","3,903389",
178,"0,005458","0,017924","0,004513","0,005522",3,"33,417162","1,504233","2,383471","5,769491","3,723621",
179,"0,005292","0,017662","0,003569","0,008109",3,"34,632356","1,189795","2,268076","6,881952","3,899574",
180,"0,005321","0,016372","0,00391","0,006551",3,"32,153521","1,303408","2,331734","5,783796","3,821373",
181,"0,006492","0,019727","0,004459","0,00683",3,"37,507903","1,486473","2,384663","5,913496","4,575253",
182,"0,005366","0,018868","0,003505","0,007512",3,"35,250832","1,168237","2,617121","5,874634","4,589081",
183,"0,005427","0,016982","0,00447","0,006378",3,"33,257672","1,490089","2,331018","5,990744","4,127979",
184,"0,005987","0,018129","0,003663","0,005584",3,"33,363531","1,221113","4,002571","5,740166","3,863573",
185,"0,005345","0,016365","0,004684","0,0064",3,"32,79443","1,561386","2,282381","5,788088","3,728867",
186,"0,005375","0,016653","0,003628","0,00622",3,"31,875084","1,209273","2,472639","5,763054","3,813505",
187,"0,005368","0,01659","0,003598","0,005792",3,"31,346817","1,199214","2,291441","5,764008","4,054546",
188,"0,00544","0,016991","0,004498","0,006696",3,"33,624559","1,499444","2,812862","5,804062","3,797531",
189,"0,005337","0,01726","0,003594","0,005837",3,"32,028013","1,198094","2,605677","5,855799","3,876209",
190,"0,00595","0,019734","0,003694","0,005829",3,"35,206543","1,231407","2,325535","5,885363","4,893541",
191,"0,005378","0,017347","0,004308","0,006416",3,"33,449067","1,435912","2,829075","5,990505","3,657818",
192,"0,005987","0,017047","0,003564","0,007",3,"33,597134","1,187854","2,884865","5,721807","3,871918",
193,"0,006219","0,016633","0,003724","0,007866",3,"34,442014","1,241348","2,135992","5,783319","4,198551",
194,"0,005577","0,017559","0,003701","0,006253",3,"33,089699","1,233753","2,827168","5,752325","4,210472",
195,"0,00533","0,01733","0,003532","0,005468",3,"31,659621","1,177421","2,130747","5,806208","3,706694",
196,"0,005326","0,017155","0,004274","0,00629",3,"33,045827","1,424712","2,353907","5,841017","4,106283",
197,"0,005299","0,016878","0,003546","0,00751",3,"33,232998","1,182136","2,395391","5,756855","3,898621",
198,"0,005276","0,018285","0,003646","0,005595",3,"32,802653","1,215396","2,192736","5,758286","4,015446",
199,"0,005314","0,017565","0,004297","0,005978",3,"33,153668","1,432253","2,645016","5,771399","3,931284",
200,"0,005629","0,021145","0,003485","0,005765",3,"36,023359","1,161538","2,341986","5,774498","7,519007",
