CPU_Core_1_Usage_%,CPU_Core_2_Usage_%,CPU_Core_3_Usage_%,CPU_Core_4_Usage_%,CPU_Core_5_Usage_%,CPU_Core_6_Usage_%,CPU_Core_7_Usage_%,CPU_Core_8_Usage_%,CPU_Core_1_Freq_MHz,CPU_Core_2_Freq_MHz,CPU_Core_3_Freq_MHz,CPU_Core_4_Freq_MHz,CPU_Core_5_Freq_MHz,CPU_Core_6_Freq_MHz,CPU_Core_7_Freq_MHz,CPU_Core_8_Freq_MHz,GPU_Usage_%,GPU_Freq_MHz,GPU_mW,CPU_mW,SOC_mW,VDDRQ_mW,SYS5V_mW,Total_Power_mW,mJ,Total_mJ,Total_J,Total_Time_s,average_mW,average_GPU_Usage_%,average_CPU_Usage_%,CV_mW
8,0,8,0,0,0,83,8,2263,2263,2261,2264,2262,2257,2264,2264,69,318,774,2322,2631,464,3120,9311,56,,,,,,,0.0
8,8,7,8,8,15,81,0,2258,2263,2262,2263,2264,2262,2261,2265,0,318,774,2322,2631,464,3120,9311,56,,,,,,,0.0
7,0,0,8,8,0,83,9,2264,2262,2263,2263,2259,2263,2262,2264,19,318,774,2321,2631,464,3120,9310,56,,,,,,,0.0
8,0,8,15,8,0,75,8,2264,2262,2268,2264,2263,2263,2264,2262,0,318,774,2477,2631,464,3120,9466,57,,,,,,,0.0
8,0,15,8,7,8,81,15,2264,2264,2257,2264,2263,2263,2264,2264,75,318,774,2322,2631,464,3120,9311,56,,,,,,,0.0
30,8,8,14,9,7,46,15,2262,2264,2264,2262,2262,2256,2265,2263,0,318,774,2322,2631,309,3120,9156,55,,,,,,,0.0
7,0,7,8,75,0,0,0,2264,2263,2263,2265,2256,2264,2262,2264,0,318,774,2322,2631,464,3120,9311,56,,,,,,,0.0
0,0,0,9,83,8,0,7,2262,2265,2264,2264,2261,2265,2263,2269,36,318,774,2322,2631,309,3120,9156,55,,,,,,,
0,0,16,8,78,8,7,8,2263,2262,2265,2265,2264,2262,2264,2263,0,318,774,2322,2631,464,3120,9311,56,,,,,,,0.0
16,16,8,8,90,8,16,8,2260,2264,2263,2265,2264,2265,2265,2270,28,318,774,2477,2631,464,3120,9466,57,,,,,,,0.0
25,8,25,16,76,15,8,16,2265,2263,2264,2262,2264,2263,2264,2263,0,318,774,2785,2630,464,3160,9813,59,,,,,,,
30,9,18,25,83,21,58,9,2263,2264,2264,2269,2265,2265,2263,2264,93,318,773,3095,2630,464,3160,10122,61,,,,,,,0.0
0,15,0,0,38,66,8,7,2263,2265,2264,2264,2264,2265,2265,2264,0,318,773,3095,2630,464,3160,10122,61,,,,,,,0.0
8,16,0,7,8,75,0,16,2263,2267,2263,2264,2264,2259,2265,2265,98,318,773,2940,2630,464,3160,9967,60,,,,,,,0.0
8,0,8,0,25,90,9,8,2263,2261,2264,2265,2256,2264,2263,2261,0,318,773,2940,2630,464,3160,9967,60,,,,,,,0.0
0,0,8,8,0,78,0,8,2265,2264,2264,2263,2264,2264,2260,2264,1,318,774,2785,2630,464,3160,9813,59,,,,,,,0.0
0,0,15,8,0,83,0,0,2264,2264,2264,2263,2263,2264,2264,2262,10,318,774,2631,2631,464,3120,9620,57,,,,,,,0.0
15,0,8,0,0,75,8,0,2264,2264,2261,2264,2264,2257,2260,2261,47,318,774,2631,2631,464,3160,9660,58,,,,,,,0.0
8,0,8,14,0,84,0,8,2264,2264,2264,2266,2264,2264,2257,2265,1,318,774,2477,2631,464,3120,9466,57,,,,,,,0.0
0,0,0,0,0,72,8,23,2264,2258,2263,2260,2263,2272,2262,2264,0,318,774,2477,2631,464,3160,9506,57,,,,,,,0.0
15,8,15,16,0,90,0,0,2265,2265,2265,2258,2261,2265,2265,2265,42,318,774,2477,2631,464,3120,9466,57,,,,,,,0.0
0,0,8,7,0,76,0,8,2264,2257,2264,2262,2265,2263,2264,2267,0,318,774,2477,2631,464,3120,9466,57,,,,,,,0.0
8,14,8,0,0,81,8,7,2265,2265,2265,2263,2267,2264,2263,2265,96,318,774,2477,2631,464,3120,9466,57,,,,,,,
21,9,50,18,8,84,57,16,2264,2264,2264,2262,2264,2262,2264,2265,0,318,774,2940,2630,464,3160,9968,60,,,,,,,0.0
8,7,15,15,0,76,8,27,2265,2264,2262,2262,2262,2269,2266,2264,81,318,774,2785,2630,464,3160,9813,59,,,,,,,0.0
0,0,8,0,0,91,8,7,2259,2264,2265,2264,2264,2264,2264,2263,0,318,774,2785,2631,464,3120,9774,58,,,,,,,0.0
0,0,0,0,0,72,16,8,2264,2258,2265,2264,2264,2262,2264,2262,62,318,774,2631,2631,464,3120,9620,57,,,,,,,
0,0,0,0,0,81,15,15,2264,2265,2264,2265,2264,2264,2264,2262,0,318,774,2631,2631,464,3120,9620,57,,,,,,,0.0
7,0,0,8,0,76,0,14,2264,2262,2263,2263,2261,2262,2265,2264,93,318,774,2477,2631,464,3120,9466,57,,,,,,,0.0
16,8,0,0,7,81,0,8,2269,2262,2264,2264,2264,2264,2264,2264,0,318,774,2477,2631,309,3120,9311,56,,,,,,,0.0
15,8,15,0,0,75,16,8,2265,2265,2264,2264,2261,2264,2264,2265,75,318,774,2631,2631,464,3160,9660,58,,,,,,,0.0
16,7,8,0,0,84,7,0,2264,2265,2257,2263,2263,2263,2264,2266,0,318,774,2477,2631,309,3160,9351,56,,,,,,,0.0
23,16,9,9,8,75,8,8,2265,2264,2264,2265,2264,2264,2264,2263,94,318,774,2631,2631,464,3160,9660,58,,,,,,,
8,8,9,16,15,90,9,0,2264,2264,2261,2265,2264,2264,2262,2264,0,318,774,2631,2631,464,3120,9620,57,,,,,,,0.0
0,0,0,0,0,75,0,0,2263,2264,2263,2265,2264,2264,2263,2261,47,318,774,2631,2631,464,3160,9660,58,,,,,,,0.0
8,0,0,14,0,85,8,15,2263,2267,2264,2265,2264,2259,2264,2264,3,318,774,2631,2631,309,3120,9465,57,,,,,,,0.0
8,30,15,0,16,72,0,15,2264,2264,2264,2265,2264,2263,2260,2264,0,318,774,2631,2631,464,3160,9660,58,,,,,,,0.0
0,0,0,0,83,8,0,8,2265,2265,2267,2261,2264,2266,2263,2264,1,318,774,2631,2631,464,3120,9620,57,,,,,,,0.0
50,8,25,8,75,8,15,16,2263,2261,2264,2264,2263,2264,2263,2260,0,318,773,2940,2630,464,3160,9967,60,,,,,,,0.0
0,16,0,8,83,0,16,9,2264,2264,2264,2263,2264,2264,2264,2262,40,318,774,2785,2630,464,3160,9813,59,,,,,,,
30,15,15,8,83,8,0,9,2263,2260,2263,2263,2263,2264,2263,2264,0,318,773,2940,2630,464,3160,9967,60,,,,,,,0.0
8,0,7,0,83,8,8,7,2263,2269,2257,2258,2265,2264,2264,2264,96,318,773,2785,2630,464,3160,9812,59,,,,,,,0.0
8,9,0,0,83,7,0,9,2264,2263,2264,2263,2263,2259,2261,2263,0,318,773,2785,2630,464,3120,9772,58,,,,,,,
9,8,7,0,76,0,15,0,2264,2265,2263,2264,2263,2259,2263,2260,96,318,773,2630,2630,464,3120,9617,57,,,,,,,0.0
15,7,16,8,81,8,8,7,2264,2264,2264,2264,2263,2263,2264,2264,0,318,773,2630,2630,309,3120,9462,57,,,,,,,0.0
8,0,8,8,75,0,0,8,2263,2263,2264,2264,2262,2264,2262,2262,4,318,773,2476,2630,464,3120,9463,57,,,,,,,0.0
0,8,0,0,90,0,0,8,2264,2264,2263,2263,2267,2264,2264,2263,19,318,774,2477,2630,309,3120,9310,56,,,,,,,0.0
