02-07-2025 09:41:30 RAM 7965/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [6%@2265,0%@1188,0%@1190,0%@1191,0%@1192,6%@1189,5%@1226,5%@1189] EMC_FREQ 6%@1600 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46C CPU@47.5C thermal@46.6C Tboard@47C AO@46C GPU@46.5C Tdiode@49C PMIC@50C GPU 466mW/1672mW CPU 933mW/3713mW SOC 2333mW/3001mW CV -311mW/-97mW VDDRQ 311mW/780mW SYS5V 3320mW/3528mW
02-07-2025 09:41:30 RAM 7965/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [14%@2264,0%@1375,7%@1189,0%@1191,0%@1190,7%@1191,0%@1190,7%@1190] EMC_FREQ 6%@1600 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46.5C CPU@47C thermal@46.6C Tboard@47C AO@46C GPU@46.5C Tdiode@49C PMIC@50C GPU 466mW/1636mW CPU 778mW/3624mW SOC 2179mW/2977mW CV -311mW/-103mW VDDRQ 311mW/766mW SYS5V 3320mW/3522mW
02-07-2025 09:41:30 RAM 7965/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@2264,0%@1188,6%@1190,0%@1188,0%@1190,7%@1190,0%@1190,6%@1190] EMC_FREQ 5%@1600 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46C CPU@47C thermal@46.6C Tboard@47C AO@46C GPU@46.5C Tdiode@49C PMIC@50C GPU 466mW/1601mW CPU 778mW/3540mW SOC 2179mW/2953mW CV 0mW/-100mW VDDRQ 311mW/752mW SYS5V 3320mW/3516mW
02-07-2025 09:41:30 RAM 7965/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [13%@2263,0%@1188,0%@1190,0%@1190,0%@1190,7%@1190,0%@1190,0%@1190] EMC_FREQ 5%@1600 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46C CPU@47C thermal@46.6C Tboard@47C AO@46C GPU@46.5C Tdiode@48.75C PMIC@50C GPU 466mW/1569mW CPU 778mW/3461mW SOC 2179mW/2931mW CV 0mW/-97mW VDDRQ 311mW/740mW SYS5V 3320mW/3510mW
02-07-2025 09:41:30 RAM 7965/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [7%@1189,0%@1191,7%@1187,0%@1189,0%@1189,0%@1189,7%@1190,7%@1190] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46C CPU@47C thermal@46.6C Tboard@47C AO@46C GPU@46.5C Tdiode@48.75C PMIC@50C GPU 466mW/1538mW CPU 778mW/3387mW SOC 2179mW/2910mW CV 0mW/-94mW VDDRQ 311mW/728mW SYS5V 3320mW/3505mW
02-07-2025 09:41:30 RAM 7966/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@1190,0%@1190,21%@1190,0%@1187,0%@1190,0%@1188,7%@1190,0%@1190] EMC_FREQ 3%@2133 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46C CPU@47.5C thermal@46.6C Tboard@47C AO@46C GPU@46.5C Tdiode@48.75C PMIC@50C GPU 466mW/1509mW CPU 778mW/3316mW SOC 2179mW/2890mW CV 0mW/-92mW VDDRQ 311mW/716mW SYS5V 3320mW/3500mW
02-07-2025 09:41:30 RAM 7966/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [7%@1190,0%@1190,0%@1189,0%@1189,0%@1190,0%@1189,7%@1191,7%@1190] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46C CPU@47.5C thermal@46.6C Tboard@47C AO@46C GPU@46.5C Tdiode@48.75C PMIC@50C GPU 466mW/1482mW CPU 778mW/3249mW SOC 2179mW/2872mW CV 0mW/-89mW VDDRQ 311mW/706mW SYS5V 3320mW/3495mW
02-07-2025 09:41:30 RAM 7966/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [0%@1190,0%@1189,0%@1184,7%@1190,0%@1191,0%@1190,0%@1190,0%@1190] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46C CPU@47C thermal@46.6C Tboard@47C AO@45.5C GPU@46.5C Tdiode@48.75C PMIC@50C GPU 466mW/1456mW CPU 778mW/3186mW SOC 2179mW/2854mW CV 0mW/-87mW VDDRQ 311mW/696mW SYS5V 3320mW/3491mW
02-07-2025 09:41:31 RAM 7967/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [12%@1190,0%@1190,18%@1190,6%@1267,6%@1189,0%@1190,6%@1190,0%@1190] EMC_FREQ 2%@2133 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46C CPU@47C thermal@46.45C Tboard@47C AO@46C GPU@46.5C Tdiode@48.75C PMIC@50C GPU 466mW/1431mW CPU 778mW/3126mW SOC 2179mW/2837mW CV 0mW/-85mW VDDRQ 311mW/686mW SYS5V 3320mW/3487mW
02-07-2025 09:41:31 RAM 7967/30991MB (lfb 2916x4MB) SWAP 0/15495MB (cached 0MB) CPU [46%@2263,0%@1189,15%@1190,0%@1187,7%@1190,0%@1187,7%@1190,7%@1190] EMC_FREQ 3%@1600 GR3D_FREQ 0%@[675] VIC_FREQ 1036 APE 150 AUX@46C CPU@47C thermal@46.45C Tboard@47C AO@46C GPU@46.5C Tdiode@48.75C PMIC@50C GPU 466mW/1407mW CPU 933mW/3072mW SOC 2179mW/2821mW CV 0mW/-83mW VDDRQ 311mW/677mW SYS5V 3320mW/3482mW
