02-19-2025 08:01:34 RAM 8342/30991MB (lfb 4095x4MB) SWAP 0/15495MB (cached 0MB) CPU [72%@2265,63%@2265,46%@2265,30%@2265,27%@2265,100%@2265,63%@2265,36%@2265] EMC_FREQ 14%@2133 GR3D_FREQ 39%@[624] VIC_FREQ 115 APE 150 AUX@40C CPU@43.5C thermal@41.2C Tboard@40C AO@39.5C GPU@41C Tdiode@42.75C PMIC@50C GPU 1856mW/1597mW CPU 6184mW/5475mW SOC 3247mW/3140mW CV 0mW/-63mW VDDRQ 1082mW/927mW SYS5V 3634mW/3577mW
02-19-2025 08:01:34 RAM 8342/30991MB (lfb 4095x4MB) SWAP 0/15495MB (cached 0MB) CPU [61%@2265,22%@2265,54%@2266,61%@2265,16%@2265,100%@2265,64%@2265,45%@2264] EMC_FREQ 14%@2133 GR3D_FREQ 39%@[624] VIC_FREQ 115 APE 150 AUX@40.5C CPU@43.5C thermal@41.35C Tboard@40C AO@39.5C GPU@41C Tdiode@42.75C PMIC@50C GPU 1855mW/1604mW CPU 6184mW/5495mW SOC 3247mW/3143mW CV -309mW/-70mW VDDRQ 1082mW/932mW SYS5V 3634mW/3579mW
02-19-2025 08:01:34 RAM 8342/30991MB (lfb 4095x4MB) SWAP 0/15495MB (cached 0MB) CPU [27%@2265,36%@2265,16%@2265,69%@2265,9%@2265,100%@2263,69%@2264,58%@2265] EMC_FREQ 14%@2133 GR3D_FREQ 43%@[624] VIC_FREQ 115 APE 150 AUX@40C CPU@43.5C thermal@41.35C Tboard@40C AO@39.5C GPU@41C Tdiode@42.75C PMIC@50C GPU 2010mW/1616mW CPU 6184mW/5515mW SOC 3247mW/3146mW CV 0mW/-68mW VDDRQ 1082mW/936mW SYS5V 3634mW/3580mW
02-19-2025 08:01:35 RAM 8343/30991MB (lfb 4091x4MB) SWAP 0/15495MB (cached 0MB) CPU [72%@2266,61%@2266,76%@2265,75%@2265,33%@2264,100%@2265,53%@2265,46%@2265] EMC_FREQ 14%@2133 GR3D_FREQ 42%@[624] VIC_FREQ 115 APE 150 AUX@40C CPU@44C thermal@41.35C Tboard@40C AO@39.5C GPU@41C Tdiode@42.75C PMIC@50C GPU 2010mW/1626mW CPU 6339mW/5537mW SOC 3401mW/3153mW CV 0mW/-66mW VDDRQ 1082mW/940mW SYS5V 3674mW/3583mW
02-19-2025 08:01:35 RAM 8343/30991MB (lfb 4091x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2260,53%@2265,46%@2264,53%@2259,20%@2265,100%@2265,36%@2264,72%@2265] EMC_FREQ 14%@2133 GR3D_FREQ 40%@[624] VIC_FREQ 115 APE 150 AUX@40.5C CPU@44C thermal@41.35C Tboard@40C AO@39.5C GPU@41C Tdiode@42.75C PMIC@50C GPU 2010mW/1636mW CPU 6494mW/5562mW SOC 3401mW/3159mW CV 0mW/-65mW VDDRQ 1082mW/944mW SYS5V 3674mW/3585mW
02-19-2025 08:01:35 RAM 8347/30991MB (lfb 4091x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@2264,25%@2265,75%@2264,66%@2267,42%@2260,84%@2265,53%@2262,50%@2264] EMC_FREQ 15%@2133 GR3D_FREQ 43%@[624] VIC_FREQ 115 APE 150 AUX@40C CPU@43.5C thermal@41.35C Tboard@40C AO@40C GPU@41C Tdiode@42.75C PMIC@50C GPU 2010mW/1646mW CPU 6648mW/5590mW SOC 3401mW/3166mW CV 0mW/-63mW VDDRQ 1082mW/947mW SYS5V 3674mW/3587mW
02-19-2025 08:01:35 RAM 8344/30991MB (lfb 4091x4MB) SWAP 0/15495MB (cached 0MB) CPU [50%@2265,63%@2265,0%@2265,25%@2265,23%@2265,100%@2265,72%@2263,76%@2265] EMC_FREQ 15%@2133 GR3D_FREQ 63%@[624] VIC_FREQ 115 APE 150 AUX@40.5C CPU@44C thermal@41.35C Tboard@40C AO@40C GPU@41C Tdiode@42.75C PMIC@50C GPU 2010mW/1655mW CPU 6494mW/5612mW SOC 3401mW/3172mW CV 0mW/-61mW VDDRQ 1082mW/951mW SYS5V 3674mW/3590mW
02-19-2025 08:01:35 RAM 8347/30991MB (lfb 4091x4MB) SWAP 0/15495MB (cached 0MB) CPU [41%@2262,75%@2265,63%@2265,41%@2264,23%@2265,100%@2265,58%@2265,11%@2263] EMC_FREQ 15%@2133 GR3D_FREQ 37%@[624] VIC_FREQ 115 APE 150 AUX@40C CPU@43.5C thermal@41.35C Tboard@40C AO@40C GPU@41C Tdiode@42.75C PMIC@50C GPU 2164mW/1667mW CPU 6494mW/5634mW SOC 3401mW/3177mW CV 0mW/-60mW VDDRQ 1082mW/954mW SYS5V 3674mW/3592mW
02-19-2025 08:01:35 RAM 8345/30991MB (lfb 4091x4MB) SWAP 0/15495MB (cached 0MB) CPU [57%@2265,61%@2265,61%@2265,46%@2265,25%@2265,100%@2265,54%@2265,28%@2266] EMC_FREQ 15%@2133 GR3D_FREQ 63%@[624] VIC_FREQ 115 APE 150 AUX@40.5C CPU@44C thermal@41.35C Tboard@40C AO@40C GPU@41C Tdiode@42.75C PMIC@50C GPU 2164mW/1679mW CPU 6494mW/5654mW SOC 3401mW/3182mW CV 0mW/-58mW VDDRQ 1082mW/957mW SYS5V 3674mW/3594mW
02-19-2025 08:01:35 RAM 8346/30991MB (lfb 4091x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2265,41%@2265,45%@2265,54%@2265,16%@2265,100%@2265,57%@2262,50%@2265] EMC_FREQ 15%@2133 GR3D_FREQ 66%@[624] VIC_FREQ 115 APE 150 AUX@40.5C CPU@43.5C thermal@41.35C Tboard@40C AO@40C GPU@41C Tdiode@42.75C PMIC@50C GPU 2164mW/1690mW CPU 6494mW/5674mW SOC 3401mW/3187mW CV 0mW/-57mW VDDRQ 1082mW/960mW SYS5V 3674mW/3595mW
02-19-2025 08:01:35 RAM 8345/30991MB (lfb 4091x4MB) SWAP 0/15495MB (cached 0MB) CPU [58%@2265,36%@2266,57%@2266,38%@2265,14%@2265,100%@2265,69%@2265,40%@2261] EMC_FREQ 16%@2133 GR3D_FREQ 40%@[624] VIC_FREQ 115 APE 150 AUX@40.5C CPU@44C thermal@41.55C Tboard@40C AO@40C GPU@41.5C Tdiode@42.75C PMIC@50C GPU 2164mW/1701mW CPU 6339mW/5689mW SOC 3401mW/3192mW CV 0mW/-56mW VDDRQ 1082mW/962mW SYS5V 3674mW/3597mW
02-19-2025 08:01:36 RAM 8343/30991MB (lfb 4091x4MB) SWAP 0/15495MB (cached 0MB) CPU [46%@2264,35%@2266,71%@2265,50%@2266,11%@2263,100%@2265,64%@2265,46%@2265] EMC_FREQ 16%@2133 GR3D_FREQ 40%@[624] VIC_FREQ 115 APE 150 AUX@40.5C CPU@44C thermal@41.55C Tboard@40C AO@40C GPU@41C Tdiode@42.75C PMIC@50C GPU 2164mW/1712mW CPU 6184mW/5700mW SOC 3401mW/3197mW CV 0mW/-54mW VDDRQ 1082mW/965mW SYS5V 3674mW/3599mW
02-19-2025 08:01:36 RAM 8345/30991MB (lfb 4091x4MB) SWAP 0/15495MB (cached 0MB) CPU [25%@2263,25%@2265,58%@2265,75%@2265,23%@2265,100%@2265,41%@2265,61%@2261] EMC_FREQ 16%@2133 GR3D_FREQ 60%@[624] VIC_FREQ 115 APE 150 AUX@40.5C CPU@44C thermal@41.55C Tboard@40C AO@40C GPU@41C Tdiode@42.75C PMIC@50C GPU 2164mW/1721mW CPU 6184mW/5710mW SOC 3401mW/3201mW CV 0mW/-53mW VDDRQ 1082mW/968mW SYS5V 3674mW/3600mW
02-19-2025 08:01:36 RAM 8346/30991MB (lfb 4091x4MB) SWAP 0/15495MB (cached 0MB) CPU [54%@2265,50%@2265,58%@2265,50%@2265,50%@2264,100%@2265,57%@2265,50%@2265] EMC_FREQ 16%@2133 GR3D_FREQ 57%@[624] VIC_FREQ 115 APE 150 AUX@40C CPU@44C thermal@41.55C Tboard@40C AO@39.5C GPU@41C Tdiode@42.75C PMIC@50C GPU 2164mW/1731mW CPU 6339mW/5724mW SOC 3401mW/3206mW CV 0mW/-52mW VDDRQ 1082mW/970mW SYS5V 3674mW/3602mW
