02-19-2025 10:28:24 RAM 11759/30991MB (lfb 2742x4MB) SWAP 0/15495MB (cached 0MB) CPU [92%@2265,75%@2265,83%@2265,100%@2263,84%@2263,92%@2265,70%@2264,84%@2265] EMC_FREQ 18%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53C thermal@50.45C Tboard@47C AO@48C GPU@50.5C Tdiode@51.25C PMIC@50C GPU 5246mW/4449mW CPU 8795mW/8509mW SOC 3703mW/3498mW CV 0mW/0mW VDDRQ 1234mW/1128mW SYS5V 3880mW/3788mW
02-19-2025 10:28:24 RAM 11782/30991MB (lfb 2734x4MB) SWAP 0/15495MB (cached 0MB) CPU [83%@2265,84%@2265,78%@2265,92%@2265,100%@2265,92%@2265,92%@2264,100%@2265] EMC_FREQ 18%@2133 GR3D_FREQ 17%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53.5C thermal@50.45C Tboard@47C AO@48C GPU@50.5C Tdiode@51.25C PMIC@50C GPU 5246mW/4474mW CPU 8949mW/8522mW SOC 3548mW/3500mW CV 0mW/0mW VDDRQ 1234mW/1132mW SYS5V 3953mW/3793mW
02-19-2025 10:28:24 RAM 11787/30991MB (lfb 2733x4MB) SWAP 0/15495MB (cached 0MB) CPU [76%@2265,75%@2265,91%@2263,83%@2265,92%@2265,75%@2265,93%@2269,92%@2264] EMC_FREQ 18%@2133 GR3D_FREQ 25%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53.5C thermal@50.45C Tboard@47C AO@48C GPU@50.5C Tdiode@51.25C PMIC@50C GPU 5094mW/4492mW CPU 8949mW/8535mW SOC 3550mW/3501mW CV 0mW/0mW VDDRQ 1234mW/1135mW SYS5V 3953mW/3798mW
02-19-2025 10:28:25 RAM 11801/30991MB (lfb 2730x4MB) SWAP 0/15495MB (cached 0MB) CPU [63%@2265,69%@2264,100%@2265,91%@2266,63%@2269,100%@2263,81%@2265,63%@2265] EMC_FREQ 19%@2133 GR3D_FREQ 44%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53C thermal@50.45C Tboard@47C AO@48C GPU@51C Tdiode@51C PMIC@50C GPU 5248mW/4513mW CPU 8949mW/8547mW SOC 3704mW/3507mW CV 0mW/0mW VDDRQ 1234mW/1137mW SYS5V 3913mW/3801mW
02-19-2025 10:28:25 RAM 11810/30991MB (lfb 2725x4MB) SWAP 0/15495MB (cached 0MB) CPU [92%@2264,84%@2265,85%@2265,60%@2265,92%@2265,73%@2265,63%@2265,78%@2265] EMC_FREQ 19%@2133 GR3D_FREQ 40%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53.5C thermal@50.45C Tboard@47C AO@48.5C GPU@51C Tdiode@51C PMIC@50C GPU 5094mW/4529mW CPU 8949mW/8558mW SOC 3703mW/3512mW CV 0mW/0mW VDDRQ 1234mW/1140mW SYS5V 3913mW/3804mW
02-19-2025 10:28:25 RAM 11797/30991MB (lfb 2726x4MB) SWAP 0/15495MB (cached 0MB) CPU [76%@2265,64%@2264,72%@2265,80%@2265,61%@2264,75%@2265,92%@2265,71%@2265] EMC_FREQ 19%@2133 GR3D_FREQ 33%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53C thermal@50.45C Tboard@47C AO@48C GPU@51C Tdiode@51.25C PMIC@50C GPU 5402mW/4553mW CPU 8795mW/8564mW SOC 3703mW/3518mW CV 0mW/0mW VDDRQ 1234mW/1143mW SYS5V 3880mW/3806mW
02-19-2025 10:28:25 RAM 11796/30991MB (lfb 2726x4MB) SWAP 0/15495MB (cached 0MB) CPU [80%@2264,80%@2261,66%@2265,84%@2265,60%@2265,78%@2264,100%@2265,57%@2264] EMC_FREQ 19%@2133 GR3D_FREQ 41%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53C thermal@50.45C Tboard@47C AO@48.5C GPU@51C Tdiode@51.25C PMIC@50C GPU 5402mW/4575mW CPU 8795mW/8570mW SOC 3703mW/3522mW CV 0mW/0mW VDDRQ 1234mW/1145mW SYS5V 3913mW/3809mW
02-19-2025 10:28:25 RAM 11816/30991MB (lfb 2726x4MB) SWAP 0/15495MB (cached 0MB) CPU [69%@2265,76%@2272,85%@2265,76%@2264,93%@2265,85%@2265,100%@2260,71%@2264] EMC_FREQ 19%@2133 GR3D_FREQ 42%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53C thermal@50.45C Tboard@47C AO@48.5C GPU@51C Tdiode@51.25C PMIC@50C GPU 5402mW/4597mW CPU 8641mW/8572mW SOC 3704mW/3527mW CV 0mW/0mW VDDRQ 1234mW/1147mW SYS5V 3920mW/3812mW
02-19-2025 10:28:25 RAM 11830/30991MB (lfb 2722x4MB) SWAP 0/15495MB (cached 0MB) CPU [66%@2265,83%@2264,80%@2264,91%@2263,72%@2264,84%@2265,100%@2265,100%@2264] EMC_FREQ 19%@2133 GR3D_FREQ 39%@[1377] VIC_FREQ 115 APE 150 AUX@48.5C CPU@53.5C thermal@50.45C Tboard@47C AO@48.5C GPU@51C Tdiode@51.25C PMIC@50C GPU 5248mW/4613mW CPU 8795mW/8578mW SOC 3704mW/3532mW CV 0mW/0mW VDDRQ 1234mW/1149mW SYS5V 3880mW/3813mW
02-19-2025 10:28:25 RAM 11858/30991MB (lfb 2715x4MB) SWAP 0/15495MB (cached 0MB) CPU [92%@2264,100%@2264,88%@2264,100%@2263,100%@2264,100%@2266,100%@2263,100%@2265] EMC_FREQ 19%@2133 GR3D_FREQ 50%@[1377] VIC_FREQ 115 APE 150 AUX@49C CPU@53.5C thermal@50.6C Tboard@47C AO@48C GPU@51C Tdiode@51.25C PMIC@50C GPU 5248mW/4628mW CPU 8949mW/8587mW SOC 3704mW/3536mW CV 0mW/0mW VDDRQ 1234mW/1152mW SYS5V 3880mW/3815mW
